topico,tema,enunciado,resposta_certa,explicacao,id
tópico 5,"Técnicas de agrupamento: Agrupamento por partição, por densidade e hierárquico","Questão: No contexto da aprendizagem de máquina, diversas técnicas de agrupamento são utilizadas para identificar estruturas naturais ou padrões em conjuntos de dados multidimensionais. Sobre as técnicas de agrupamento por partição, por densidade e hierárquico, avalie as seguintes afirmações:

I. O agrupamento por partição, exemplificado pelo algoritmo k-means, busca dividir o conjunto de dados em um número pré-definido de grupos, minimizando a variância dentro de cada grupo e otimizando a posição dos centróides.

II. A técnica de agrupamento por densidade, como DBSCAN, identifica regiões de alta densidade separadas por regiões de baixa densidade, sendo eficaz mesmo quando os grupos têm formas irregulares ou vários ruídos e pontos de outliers.

III. O agrupamento hierárquico pode ser dividido em dois tipos principais: aglomerativo e divisivo, onde o primeiro inicia com cada ponto de dado em seu próprio cluster e os funde progressivamente, enquanto o segundo começa com um único cluster e realiza divisões sucessivas.

Está(ão) correta(s) apenas a(s) afirmativa(s):

A) I.
B) II.
C) III.
D) I e II.
E) I, II e III.

",E,"

Explicação dos itens:

A) A afirmação I está correta; o agrupamento por partição é clássico na aprendizagem de máquinas e o algoritmo k-means é um dos mais conhecidos dessa abordagem, procurando minimizar a variância intra-cluster e otimizar a localização dos centróides.

B) A afirmação II também está correta; o agrupamento por densidade, como o DBSCAN, é capaz de identificar clusters de formas arbitrárias e é particularmente útil para lidar com ruídos e outliers, identificando regiões de alta densidade que são separadas por regiões de baixa densidade.

C) A afirmação III é correta; o agrupamento hierárquico pode ser de fato aglomerativo, começando com cada ponto em seu próprio cluster e os fundindo progressivamente, ou divisivo, iniciando com todos os pontos em um único cluster e dividindo-o em clusters menores.

D) Essa opção está incorreta pois afirma que apenas as afirmativas I e II estão corretas, enquanto todas as três afirmações são verdadeiras.

E) A opção E é a correta, pois todas as afirmações I, II e III estão corretas e representam adequadamente as características das técnicas de agrupamento por partição, por densidade e hierárquico, respectivamente.",8358769
tópico 1,Banco de dados NoSQL,"Questão: No contexto de sistemas de banco de dados NoSQL, diferentes tipos de dados e modelos de consistência influenciam diretamente a maneira como os dados são armazenados e recuperados. Considerando os principais tipos de bancos NoSQL e suas características, assinale a opção que apresenta corretamente o tipo de banco de dados NoSQL e seu respectivo modelo de dados:

A) Banco de dados em colunas - Utiliza o modelo BASE (Basically Available, Soft state, Eventual consistency) e é otimizado para leituras e escritas rápidas em conjuntos de dados muito grandes distribuídos.

B) Banco de dados de documentos - Armazena os dados em estruturas de árvore binária, em que cada nó representa um documento, facilitando a indexação e recuperação de dados estruturalmente complexos.

C) Banco de dados de grafos - Utiliza o modelo ACID (Atomicity, Consistency, Isolation, Durability) e é projetado para armazenar, mapear e consultar relacionamentos entre dados em uma rede.

D) Banco de dados chave-valor - Segue o modelo relacional e é indicado para situações que demandam esquemas de dados rigorosamente definidos e complexas operações de junção.

E) Banco de dados orientado a objetos - Armazena informações em entidades chamadas de ""blobs"", onde cada blob é uma instância de uma classe no banco de dados.

",C,"

Explicação dos itens:

A) Errado. Bancos de dados em colunas efetivamente utilizam o modelo BASE e são otimizados para operações rápidas em grandes conjuntos de dados distribuídos. No entanto, a opção não informa corretamente sobre o armazenamento em forma de colunas.

B) Errado. Bancos de dados de documentos armazenam dados em formato de documentos, como JSON ou XML, e não em estruturas de árvore binária. Esta opção confunde estruturas de armazenamento com formatos de documentos.

C) Correto. Bancos de dados de grafos realmente utilizam o modelo ACID, pois mantêm a consistência dos dados mesmo com transações complexas que envolvem muitas relações. Eles são projetados para lidar com dados em uma rede, como sistemas de recomendação, redes sociais, etc.

D) Errado. Bancos de dados chave-valor armazenam dados como um conjunto de pares chave-valor e não seguem o modelo relacional. Eles são conhecidos por sua simplicidade e alta performance, especialmente em aplicações que não necessitam de operações de junção complexas.

E) Errado. Bancos de dados orientados a objetos armazenam dados como objetos, conforme as definições da programação orientada a objetos (POO), e não em entidades chamadas ""blobs"". Cada objeto no banco de dados é uma instância de uma classe, mas a descrição da opção não é precisa.",2192129
tópico 4,Teorema do limite central,"Questão: Uma empresa de pesquisa de mercado deseja estimar a satisfação média dos clientes de uma grande rede de varejo. A satisfação do cliente é medida em uma escala de 1 a 10, onde 1 significa completamente insatisfeito e 10 completamente satisfeito. Foi selecionada uma amostra aleatória de 150 clientes, e a média de satisfação encontrada foi de 7,5 com um desvio padrão de 1,2 na amostra. Considerando o Teorema do Limite Central e assumindo que a distribuição da satisfação dos clientes é inicialmente desconhecida, qual é a probabilidade aproximada de que a média de satisfação da população esteja entre 7,4 e 7,6?

A) Menos de 5%
B) Entre 5% e 10%
C) Entre 10% e 20%
D) Entre 20% e 30%
E) Mais de 30%

",E,"

A alternativa correta é E) Mais de 30%. O Teorema do Limite Central afirma que, para amostras grandes (n > 30), a distribuição das médias amostrais tende a ser aproximadamente normal, independentemente da forma da distribuição da população, desde que a amostra seja aleatória e menos de 10% da população total (quando a população é finita).

Aqui estão as explicações dos itens:

A) Este intervalo é muito estreito e, considerando uma distribuição normal, a probabilidade de a média da população estar dentro de um intervalo tão pequeno ao redor da média amostral é muito baixa.

B) Similarmente ao item A, a probabilidade é maior do que 5%, uma vez que estamos lidando com uma distribuição normal e um intervalo pequeno ao redor da média da amostra.

C) Este é um intervalo um pouco mais amplo, mas ainda subestima a probabilidade dada pelo Teorema do Limite Central e a regra empírica (68-95-99.7) para a distribuição normal.

D) Mesmo sendo um intervalo maior que os anteriores, ainda subestima a probabilidade real, pois a regra 68-95-99.7 nos diz que aproximadamente 95% dos dados estão dentro de dois desvios padrão da média, e o intervalo dado é muito menor que isso.

E) Esse é o intervalo mais provável, dado que o intervalo de 7,4 a 7,6 é relativamente pequeno e está muito próximo da média amostral. Usando a distribuição normal padrão, podemos calcular essa probabilidade, ou estimar usando a regra empírica, que sugeriria que a probabilidade é alta, já que o intervalo é estreito e centrado na média da amostra.",3004620
tópico 5,Técnicas de classificação: Naive Bayes; Regressão logística; Redes neurais artificiais; Árvores de decisão (algoritmos ID3 e C4.5); Florestas aleatórias (random forest); Máquinas de vetores de suporte (SVM – support vector machines); K vizinhos mais próximos (KNN – K-nearest neighbours),"Questão:
Um pesquisador está desenvolvendo um modelo de classificação para prever se uma música se tornará um sucesso com base em características como duração, gênero, número de vezes que foi compartilhada nas redes sociais, entre outros metadados. Seu dataset é composto por milhares de músicas, cada uma com sua popularidade rotulada como ""sucesso"" ou ""não sucesso"". O pesquisador deseja utilizar um algoritmo de classificação que possa lidar bem com a possibilidade de relações não-lineares entre as características e o rótulo de popularidade e que, além disso, possa fornecer uma ideia da importância relativa de cada característica para o modelo de previsão. 

Qual dos seguintes algoritmos é o MAIS apropriado para ele utilizar na construção de seu modelo de classificação?

A) Naive Bayes

B) Regressão logística

C) Redes neurais artificiais

D) Árvores de decisão (algoritmos ID3 e C4.5)

E) Máquinas de vetores de suporte (SVM – Support Vector Machines)

F) K vizinhos mais próximos (KNN – K-nearest neighbours)

G) Florestas aleatórias (random forest)

",G,"

Explicação:

A) Naive Bayes é um algoritmo baseado no teorema de Bayes, e funciona melhor quando as características são independentes entre si, o que pode não ser o caso neste cenário.

B) A regressão logística é um bom modelo para classificação binária, mas pode não capturar relações não-lineares tão bem quanto outros algoritmos.

C) As redes neurais artificiais são poderosas para capturar relações não-lineares e são altamente flexíveis, porém, elas geralmente não fornecem compreensões diretas sobre a importância relativa das características.

D) As árvores de decisão, como ID3 e C4.5, são modelos interpretáveis que podem lidar com não-linearidades, mas individualmente podem não ser tão robustas quanto uma combinação de múltiplas árvores.

E) SVM pode ser usado para encontrar limites de decisão não-lineares com o uso de truques do kernel, mas não fornece uma compreensão direta da importância das características.

F) KNN é um algoritmo intuitivo que funciona bem para datasets onde a proximidade das amostras é um bom indicador da sua classificação, porém pode ser computacionalmente custoso e não oferece visão direta sobre a importância das características.

G) Florestas aleatórias são um conjunto de árvores de decisão que melhoram a robustez e o desempenho do modelo em comparação com uma única árvore de decisão. Além disso, elas podem lidar bem com relações não-lineares e são capazes de fornecer um ranking de importância das características, atendendo às necessidades específicas do pesquisador.",2104455
tópico 1,Álgebra relacional e SQL (padrão ANSI),"Questão: 

Considere as seguintes relações no esquema de uma base de dados de uma biblioteca:

Livros(codigo_livro, titulo, ano_publicacao)
Emprestimos(num_emprestimo, codigo_livro, data_emprestimo, data_devolucao, codigo_socio)
Socios(codigo_socio, nome_socio, endereco)

Um bibliotecário deseja encontrar os títulos dos livros que nunca foram emprestados. Qual das seguintes consultas em SQL (padrão ANSI) retornaria o resultado correto?

A) SELECT titulo FROM Livros WHERE codigo_livro NOT IN (SELECT codigo_livro FROM Emprestimos);

B) SELECT titulo FROM Livros L INNER JOIN Emprestimos E ON L.codigo_livro = E.codigo_livro WHERE E.data_emprestimo IS NULL;

C) SELECT titulo FROM Livros WHERE codigo_livro NOT IN (SELECT codigo_livro FROM Emprestimos WHERE data_emprestimo IS NOT NULL);

D) SELECT L.titulo FROM Livros L LEFT JOIN Emprestimos E ON L.codigo_livro = E.codigo_livro WHERE E.num_emprestimo IS NULL;

E) SELECT L.titulo FROM Livros L, Emprestimos E WHERE L.codigo_livro = E.codigo_livro AND E.data_emprestimo IS NULL;

",A," 

Explicação dos itens:

A) Correta. Esta consulta seleciona todos os títulos de livros cujos códigos não estão presentes na tabela de Empréstimos. Isso implica que estes livros nunca foram emprestados.

B) Incorreta. Esta consulta realiza um INNER JOIN entre as tabelas Livros e Empréstimos, o que retornará apenas livros que foram emprestados. Onde a cláusula 'WHERE E.data_emprestimo IS NULL' é satisfeita por nenhuma linha, pois o INNER JOIN já elimina as entradas não correspondentes.

C) Incorreta. Onde a cláusula no subselect exclui os códigos de livros com empréstimos ativos, mas isso incluirá livros que já foram emprestados e devolvidos.

D) Incorreta. Embora a consulta realize um LEFT JOIN e parece selecionar corretamente os livros que não foram emprestados (WHERE E.num_emprestimo IS NULL), o nome da coluna 'num_emprestimo' é um confusor; em uma tabela de Empréstimos, esta coluna dificilmente seria nula, já que identifica um empréstimo e não se refere à ausência do mesmo.

E) Incorreta. Esta é uma consulta que utiliza um cruzamento cartesiano (CROSS JOIN) que deve ser evitado quando possível devido à performance, além de que erro no WHERE considera livros que já foram emprestados, mas com uma data de empréstimo nula, o que não condiz com a lógica do negócio de uma biblioteca e é irrelevante para encontrar livros que nunca foram emprestados.",929111
tópico 0,Soluções de big data: Arquitetura do ecossistema Spark,"Questão: Considerando a arquitetura do ecossistema Apache Spark nas soluções de big data, qual das seguintes opções melhor descreve uma característica fundamental do Resilient Distributed Dataset (RDD), um dos principais abstratos de dados fornecido pelo Spark para processamento e análise de dados?

A) RDDs são coleções imutáveis de objetos distribuídos que só podem ser manipulados através de operações de SQL.

B) RDDs oferecem tolerância a falhas armazenando múltiplas cópias dos dados em diferentes nós do cluster, permitindo a recuperação automática em caso de perda de um nó.

C) RDDs são estruturas de dados mutáveis que permitem atualizações em tempo real, favorecendo o uso em sistemas de processamento de transações online (OLTP).

D) RDDs são abstrações que permitem o processamento paralelo em um cluster de maneira eficiente por serem particionados e imutáveis, o que simplifica a programação distribuída.

E) RDDs são abstrações de alto nível que eliminam a necessidade de gerenciar explicitamente a distribuição e paralelismo dos dados, pois eles são processados sequencialmente em cada nó do cluster.

",D,"

Explicação dos itens:

A) Incorreto. RDDs são coleções imutáveis de objetos, mas não são restritos somente às operações de SQL. Eles podem ser manipulados por meio de diversas operações de transformações e ações em um estilo de programação funcional.

B) Incorreto. A tolerância a falhas nos RDDs não é garantida pelo armazenamento de múltiplas cópias dos dados, mas sim pelo conceito de linhagem (lineage), que permite que se os dados forem perdidos, eles possam ser reconstruídos usando o histórico de como foram derivados.

C) Incorreto. RDDs são imutáveis; uma vez criados, eles não podem ser alterados. Isso difere da funcionalidade requerida por sistemas OLTP, os quais dependem de estruturas de dados mutáveis para atualizações em tempo real.

D) Correto. RDDs são projetados para serem imutáveis e particionados, permitindo o processamento em paralelo através de cluster. Essa imutabilidade traz benefícios como facilidade na programação distribuída e na recuperação de erros, pois qualquer operação de transformação cria um novo RDD.

E) Incorreto. RDDs fornecem abstrações que facilitam o gerenciamento da distribuição dos dados e do paralelismo implicitamente, entretanto, o processamento não é sequencial, mas sim paralelo e distribuído por todo o cluster.",100879
tópico 0,Armazenamento de big data,"Questão:

A capacidade de armazenar e processar grandes volumes de dados – conhecida como Big Data – tem ganho cada vez mais importância no âmbito da ciência de dados e análises avançadas. No tocante às soluções de armazenamento projetadas para esse fim, qual das seguintes opções descreve uma característica essencial que os sistemas de armazenamento de Big Data devem possuir para manejar eficientemente o volume, a velocidade e a variedade dos dados?

A) Alta capacidade de armazenamento em discos locais.
B) Suporte apenas para dados estruturados para otimizar o desempenho.
C) Capacidades de compressão de dados para reduzir o espaço físico necessário.
D) Sistemas robustos de indexação e busca para velocidade de acesso aos dados.
E) Escalabilidade horizontal para permitir o crescimento do sistema de forma flexível.

",E,"

Explicação dos itens:

A) Alta capacidade de armazenamento em discos locais.
- Esta alternativa não é suficiente para lidar com big data, pois o enfoque exclusivo em discos locais ignora aspectos como escalabilidade, processamento distribuído e a necessidade de gerenciar dados não estruturados.

B) Suporte apenas para dados estruturados para otimizar o desempenho.
- O Big Data é caracterizado também pela variedade, o que inclui dados não estruturados e semi-estruturados. Um sistema de armazenamento eficiente para Big Data não pode se limitar apenas aos dados estruturados.

C) Capacidades de compressão de dados para reduzir o espaço físico necessário.
- Enquanto a compressão de dados é uma técnica útil, ela não é suficiente por si só para abordar os principais desafios do Big Data, que incluem não apenas volume, mas também a velocidade e variedade dos dados.

D) Sistemas robustos de indexação e busca para velocidade de acesso aos dados.
- Sistemas robustos de indexação e busca são importantes, mas não abordam diretamente o desafio da escalabilidade, que é fundamental para lidar com os volumes crescentes de dados de Big Data.

E) Escalabilidade horizontal para permitir o crescimento do sistema de forma flexível.
- Esta é a característica mais essencial para sistemas de armazenamento de Big Data. A escalabilidade horizontal refere-se à capacidade do sistema de expandir adicionando mais nodos na rede, o que é crucial para lidar com o aumento de dados (volume), a necessidade de processamento rápido (velocidade) e a gestão eficiente de diferentes tipos de dados (variedade).",7879681
tópico 1,"Banco de dados relacional: SQL Server, PostgreSQL, MySQL","Questão: Em um cenário de alta demanda por performance em uma aplicação de banco de dados relacional que envolve o SQL Server, PostgreSQL e MySQL, um DBA precisa escolher uma estratégia para implementar índices eficientes. Considerando as características de índices de cada sistema gerenciador de banco de dados (SGBD), avalie as seguintes afirmações:

I. O índice ""Clustered"" no SQL Server define a ordenação física dos dados na tabela, e uma tabela pode ter apenas um índice desse tipo.
II. O PostgreSQL utiliza o método de índice B-tree por padrão, mas suporta uma variedade de tipos de índices, incluindo hash, GiST, SP-GiST, GIN e BRIN.
III. O MySQL possui o índice FULLTEXT, que é ideal para realizar buscas rápidas em colunas que armazenam grandes quantidades de texto, mas não é suportado em tabelas com o motor de armazenamento InnoDB.

Assinale a alternativa que indica todas as afirmações verdadeiras.

A) Apenas I.
B) Apenas II.
C) I e II.
D) I e III.
E) II e III.

",C," 
A alternativa correta é a letra C.

I. Verdadeiro. No SQL Server, um índice ""Clustered"" altera a ordem física de armazenamento dos dados em uma tabela e uma tabela pode possuir somente um desses índices, pois ele define a ordenação dos registros.

II. Verdadeiro. O PostgreSQL oferece diversas opções de índices. O método B-tree é o padrão, e os outros tipos (hash, GiST, SP-GiST, GIN e BRIN) são usados para casos específicos onde podem oferecer melhor performance.

III. Falso. No MySQL, é verdade que o índice FULLTEXT é usado para indexar colunas de texto para pesquisas rápidas em texto. No entanto, a afirmação está desatualizada. Embora nas versões iniciais o índice FULLTEXT não fosse suportado no motor InnoDB, desde o MySQL 5.6 o motor InnoDB também suporta índices FULLTEXT.",9066212
tópico 2,Enriquecimento,"Questão: Em processos industriais, o enriquecimento de um material frequentemente implica na separação e concentração de um determinado constituinte desejado presente em uma mistura complexa. Um exemplo clássico de enriquecimento é a produção de urânio enriquecido, que é utilizado como combustível em reatores nucleares. O urânio natural contém cerca de 0,7% de urânio-235, isótopo físsil necessário para a reação em cadeia. O enriquecimento aumenta essa porcentagem para atender às especificações do reator. Qual método dentre os listados abaixo NÃO é utilizado para o enriquecimento de urânio?

A) Difusão gasosa
B) Centrifugação a gás
C) Processo de enriquecimento eletromagnético
D) Filtração por membranas seletivas
E) Enriquecimento por laser

",D," 

A difusão gasosa (A) e a centrifugação a gás (B) são técnicas tradicionais de enriquecimento de urânio. O processo de enriquecimento eletromagnético (C), conhecido como calutrons, foi utilizado durante o Projeto Manhattan, mas é menos comum atualmente. O enriquecimento por laser (E) refere-se ao processo de separação isotópica usando lasers para excitar seletivamente isótopos de urânio. A filtração por membranas seletivas (D) não é uma técnica usada para enriquecer urânio, pois os isótopos de urânio têm propriedades químicas idênticas e não podem ser separados por simples filtração.",7803587
tópico 0,Soluções de big data: Arquitetura do ecossistema Spark,"Questão:

A arquitetura do Apache Spark é projetada para facilitar o processamento de grandes volumes de dados de maneira eficiente e rápida. Em relação às componentes principais que fazem parte da arquitetura do Spark, associe corretamente as seguintes funções às suas respectivas componentes:

I. Spark SQL
II. Spark Streaming
III. MLlib
IV. GraphX
V. Spark Core

( ) Utiliza o abstração chamada Resilient Distributed Dataset (RDD) para processamento distribuído de dados.
( ) Provê uma biblioteca de machine learning para o processamento analítico preditivo.
( ) Oferece suporte para o processamento de dados em tempo real.
( ) Habilita a manipulação de grafos e computações paralelas relacionadas a grafos.
( ) Permite a execução de consultas SQL e possibilita a leitura de dados de múltiplas fontes de dados estruturadas.

A sequência correta de associações, de cima para baixo, é:

a) V, III, II, IV, I
b) V, II, III, I, IV
c) IV, III, II, I, V
d) I, IV, III, II, V
e) III, V, IV, I, II

",B," 
Explicação dos itens:

I. Spark SQL - (e) É a componente do Spark responsável pela integração do processamento de dados estruturados e semi-estruturados com a facilidade das consultas SQL. Ela também permite a leitura de diferentes fontes de dados, como JSON, Hive e Parquet.

II. Spark Streaming - (c) Esta componente do Spark permite o processamento de fluxos contínuos de dados (streaming). Com ela, é possível realizar análises em tempo real sobre os dados que estão sendo gerados e recebidos constantemente.

III. MLlib - (b) MLlib é a biblioteca de machine learning embutida no Spark. Ela oferece diversos algoritmos e utilidades para tarefas de aprendizado de máquina, simplificando a implementação de modelos preditivos sobre grandes conjuntos de dados.

IV. GraphX - (d) É a API para manipulação de grafos e execução de algoritmos paralelos relacionados a grafos. Com ela, os usuários podem realizar operações sobre grafos de maneira otimizada e distribuída.

V. Spark Core - (a) Constitui o coração do Spark, onde as funcionalidades fundamentais do sistema estão implementadas, incluindo a programação de trabalhos e tarefas distribuídas, a gestão de memória e o fault tolerance. A sua abstração principal são os RDDs (Resilient Distributed Datasets), que permitem o processamento paralelo e distribuído dos dados.",1100074
tópico 5,Técnicas de classificação: Naive Bayes; Árvores de decisão (algoritmos ID3 e C4.5); Florestas aleatórias (random forest); Máquinas de vetores de suporte (SVM – support vector machines); K vizinhos mais próximos (KNN – K-nearest neighbours),"Questão: Sobre as técnicas de classificação em Aprendizado de Máquina, é INCORRETO afirmar que:

A) O classificador Naive Bayes assume independência condicional entre os preditores, o que muitas vezes simplifica os cálculos, apesar de esta suposição nem sempre ser verdadeira nos dados reais.

B) As árvores de decisão utilizando os algoritmos ID3 e C4.5 geram árvores binárias, onde cada nó interno representa um teste de um atributo e cada folha representa uma classe.

C) Florestas aleatórias (random forest) são um conjunto de árvores de decisão que são treinadas com subconjuntos dos dados e características, visando aumentar a diversidade entre as árvores e, por consequência, melhorar a generalização do modelo.

D) Máquinas de vetores de suporte (SVM) procuram encontrar o hiperplano que maximiza a margem entre as classes, sendo particularmente eficazes em espaços de alta dimensão.

E) O método dos K vizinhos mais próximos (KNN) é sensível ao desbalanceamento de classes e à presença de atributos irrelevantes ou redundantes, podendo requerer uma etapa de seleção ou ponderação de atributos para melhorar seu desempenho.

",B,"

Explicação dos itens:

A) Correto. O classificador Naive Bayes realmente faz essa suposição de independência. Esse é um dos motivos pelos quais é chamado de ""Naive"" ou ingênuo.

B) Incorreto. Os algoritmos ID3 e C4.5 geram árvores que não são necessariamente binárias. Os nós podem ter mais de duas saídas. Isto é, cada decisão não é limitada a uma separação binária, podendo dividir os dados com base em múltiplos valores de um único atributo.

C) Correto. As florestas aleatórias são uma técnica de ensemble que cria um conjunto de árvores de decisão durante o treinamento. Isso é feito para melhorar a robustez e precisão dos resultados de previsão.

D) Correto. As SVMs são utilizadas para classificar dados encontrando um hiperplano ótimo que separa os dados em classes, maximizando a margem entre diferentes classes de dados.

E) Correto. De fato, o KNN é um algoritmo que pode ser bastante afetado pela presença de atributos irrelevantes ou redundantes, assim como pela distribuição desigual das classes no conjunto de treinamento, o que pode prejudicar sua precisão e exigir pré-processamento dos dados.",3367554
tópico 2,Contexto de IA: Enriquecimento,"Questão:

A Fundação CESGRANRIO, em um de seus mais recentes exames, incluiu a seguinte pergunta sobre Inteligência Artificial (IA) e seu papel no processo de enriquecimento de dados:

""Em relação ao processo de enriquecimento de dados aplicado nos sistemas de Inteligência Artificial (IA), é correto afirmar que:

A) O enriquecimento de dados é uma técnica que diminui a necessidade de dados limpos e bem estruturados, pois a IA pode interpretar e corrigir automaticamente qualquer inconsistência.
B) O enriquecimento de dados é um processo irrelevante para IA, uma vez que algoritmos avançados conseguem obter resultados satisfatórios mesmo com conjuntos de dados limitados e de baixa qualidade.
C) O enriquecimento de dados envolve a adição de novos dados ou fontes de dados externas ao conjunto de dados primário, a fim de melhorar a qualidade dos insights gerados pelo modelo de IA.
D) O processo de enriquecimento de dados é exclusivamente manual e não pode ser otimizado ou automatizado por meio de técnicas de IA.
E) O enriquecimento de dados é uma prática que envolve a exclusão de grande parte dos dados existentes para que os algoritmos de IA trabalhem com um volume de dados mais gerenciável.""

",C,"

Explicação dos itens:

A) Item incorreto. O enriquecimento de dados não diminui a necessidade de dados de qualidade; pelo contrário, o propósito é melhorar um conjunto existente com informações adicionais relevantes para aprimorar a precisão dos modelos de IA.

B) Item incorreto. O enriquecimento de dados é muito relevante para a IA, pois contribui para que os modelos tenham um desempenho melhor, especialmente em situações onde os dados nativos são limitados ou de qualidade questionável.

C) Item correto. O enriquecimento de dados realmente envolve a adição de dados relevantes ao conjunto primário, o que pode incluir informações de diferentes fontes, auxiliando assim na melhoria da qualidade dos insights e na performance dos modelos de IA.

D) Item incorreto. O enriquecimento de dados pode ser tanto manual quanto automatizado, inclusive com o uso de IA para identificar e integrar novas fontes de informação de forma mais eficiente.

E) Item incorreto. A prática de enriquecimento de dados não é sobre excluir dados, mas sim sobre complementá-los com informações adicionais para enriquecer a análise que os algoritmos de IA realizarão.",206239
tópico 3,Programação orientada a objetos,"Questão: Em Programação Orientada a Objetos (POO), o conceito de herança é uma das principais características que permitiram o avanço no reuso de código e na organização das estruturas de dados de maneira hierárquica e sistemática. Sobre herança, analise as seguintes afirmações:

I. A herança múltipla permite que uma classe herde o comportamento de mais de uma classe base, o que pode introduzir complexidade adicional ao resolver ambiguidades que podem surgir com membros de mesmo nome.

II. Em linguagens que não suportam herança múltipla diretamente, como Java, é possível alcançar funcionalidade semelhante por meio do uso de interfaces, as quais permitem a especificação de métodos que devem ser implementados pela classe filha.

III. O princípio do polimorfismo, intimamente ligado à herança, impede que uma classe filha possua métodos com as mesmas assinaturas dos métodos da classe pai, para evitar conflitos durante a implementação de sobreposições.

IV. Herança é um conceito que caracteriza apenas as linguagens de programação estáticas e fortemente tipadas, não sendo aplicável em linguagens dinâmicas ou fracamente tipadas.

Assinale a opção que apresenta somente as afirmações corretas:

A) I e II
B) I e III
C) II e IV
D) III e IV
E) I, II e III

",A,"

Explicação dos itens:

I. Correto. A herança múltipla realmente permite que uma classe herde características de múltiplas classes bases. Contudo, isso pode levar a problemas de ambiguidade, especialmente conhecidos como ""problema do diamante"", onde uma classe herda de duas classes que possuem um mesmo ancestral comum.

II. Correto. Em Java, por exemplo, a herança múltipla não é suportada diretamente, mas o uso de interfaces permite que uma classe concorde em implementar métodos especificados por múltiplas interfaces, fornecendo assim um padrão semelhante à herança múltipla no que diz respeito à definição do contrato que a classe filha deve cumprir.

III. Incorreto. O polimorfismo permite justamente que métodos com a mesma assinatura sejam redefinidos em uma classe filha, possibilitando que objetos sejam tratados de maneira mais genérica. O que se busca evitar não é a sobreposição de métodos, mas sim garantir que a implementação seja consistente com a interface apresentada pela classe pai.

IV. Incorreto. Herança é um conceito que se aplica a várias linguagens de programação, independentemente de serem estáticas ou dinâmicas, fortes ou fracamente tipadas. Por exemplo, Python é uma linguagem dinâmica e fracamente tipada que suporta herança.

Portanto, somente as afirmações I e II são corretas.",6087953
tópico 2,Contexto de IA: Algoritmos fuzzy matching e stemming,"QUESTÃO:

Na área de processamento de línguas naturais e recuperação de informações, técnicas como algoritmos de fuzzy matching e stemming são comumente utilizados para aumentar a eficácia dos sistemas em compreender e manipular dados textuais. Considerando os conceitos e aplicações dessas técnicas, analise as afirmativas abaixo:

I - Fuzzy matching refere-se ao processo que identifica pares de strings de texto que são aproximadamente ou parcialmente iguais, mas não exatamente idênticos, o que é útil para correção ortográfica automática e para sistemas de busca tolerantes a erros.

II - Stemming é uma técnica que consiste na redução de palavras para a sua forma radical, permitindo que diferentes variantes de uma palavra sejam associadas a uma única forma base, utilizada para melhorar a precisão do algoritmo de busca em mecanismos de pesquisa.

III - Um sistema de busca que aplica ambos, algoritmos de fuzzy matching e stemming, não pode ser aplicado em idiomas que possuem alta inflexão morfológica, como o russo ou o árabe, já que as raízes das palavras nesses idiomas não são estáveis.

IV - Algoritmos de fuzzy matching frequentemente utilizam uma métrica chamada Distância de Levenshtein para calcular o número mínimo de operações necessárias para transformar uma string de caracteres em outra, fundamentando-se em operações como inserção, exclusão e substituição de caracteres.

É correto o que se afirma em:

A) I e II, apenas.
B) I, II e IV, apenas.
C) II e III, apenas.
D) I, III e IV, apenas.
E) Todas as afirmativas são corretas.

",B,"

EXPLICAÇÃO DOS ITENS:

I - Correto. Fuzzy matching é uma técnica que encontra correspondências que são aproximadamente iguais, sendo amplamente utilizada em corretores ortográficos e sistemas de busca que permitem certa margem de erro, aumentando a acessibilidade do sistema para interpretar inputs variados do usuário.

II - Correto. Stemming reduz as palavras para suas raízes (ou ""stems"") e é uma prática comum em mecanismos de busca para associar termos semelhantes a uma consulta de pesquisa, melhorando a relevância dos resultados.

III - Incorreto. A afirmação é falsa porque algoritmos de fuzzy matching e stemming podem ser adaptados para idiomas com alta inflexão morfológica. De fato, a eficácia desses algoritmos pode depender de ajustes específicos para a morfologia de cada idioma, mas isso não os torna inaplicáveis.

IV - Correto. A Distância de Levenshtein é uma métrica usada em algoritmos de fuzzy matching para quantificar quão diferentes duas sequências de texto são, e baseia-se em operações como inserção, exclusão e substituição para transformar uma string de texto em outra.

Dado que as afirmativas I, II e IV estão corretas, a resposta correta é a opção B.",3930557
